McGill Course,McGill Title,External Course,External Title,External Institution,Country,Status,Message
COMP302,Programming Lang & Paradigms,CPSC449,Programming Paradigms,University of Calgary,Canada,Expired,
COMP302,Programming Lang & Paradigms,CS4215,Programming Language Implementation,National University of Singapore,Singapore,Expired,
COMP302,Programming Lang & Paradigms,CS671,Programming Language Concepts and Features,University of New Hampshire,USA,Expired,
COMP302,Programming Lang & Paradigms,INFR09014,Language Semantics and Implementation,The University of Edinburgh,"Scotland, UK",Expired,
COMP302,Programming Languages and Paradigms.,03SM22BIS009,Programming Languages and Paradigms,University of Zurich,Switzerland,Equivalent,"Course is approved, but you must check with your Faculty regarding the transfer of credits."
COMP302,Programming Languages and Paradigms.,201903001,Introduction to Functional Programming,Peking University,China,Expired,
COMP302,Programming Languages and Paradigms.,26MC033010,Programming Languages,Waseda University,Japan,Equivalent,HYBRID: (over 50% on campus).
COMP302,Programming Languages and Paradigms.,5CCS2PLD,Programming Language Design Paradigms,University of London - King's College London,"England, UK",Expired,
COMP302,Programming Languages and Paradigms.,CMP328,Introduction to Programming,University of International Business and Economics (UIBE),China,Expired,course must be taken in person in order to receive credit.
COMP302,Programming Languages and Paradigms.,COMP0020,Functional Programming,University College London (UCL) - University of London,"England, UK",Expired,
COMP302,Programming Languages and Paradigms.,COMP105,Programming Language Paradigms,University of Liverpool,"England, UK",Expired,
COMP302,Programming Languages and Paradigms.,COMP26020,Programming Languages & Paradigms,The University of Manchester,"England, UK",Expired,
COMP302,Programming Languages and Paradigms.,COMP30020,Declarative programming,University of Melbourne,Australia,Expired,
COMP302,Programming Languages and Paradigms.,COMP3021,Programming Language Paradigms,The Hong Kong Polytechnic University,"Hong Kong, SAR",Expired,
COMP302,Programming Languages and Paradigms.,COMP3109,Programming Languages and Paradigms,University of Sydney,Australia,Expired,
COMP302,Programming Languages and Paradigms.,COMP3161,Concepts of Programming Languages,University of New South Wales (UNSW),Australia,Expired,
COMP302,Programming Languages and Paradigms.,COMP3258,Functional Programming,The University of Hong Kong (HKU),"Hong Kong, SAR",Equivalent,
